07.12.2024   N1106
Образец: "Рений"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2893     2,0    1447    13,0
   2895     7,0    1448     8,0
   2897     1,0    1449     5,0
   2899     6,0    1450    10,0
   2901     4,0    1451     6,0
   2903     3,0    1452     5,0
   2905     3,0    1453     8,0
   2907     4,0    1454     9,0
   2909     6,0    1455     7,0
   2911     2,0    1456     6,0
   2913     6,0    1457     3,0
   2915     2,0    1458     7,0
   2917     1,0    1459     8,0
   2919     3,0    1460     8,0
   2921     6,0    1461     6,0
   2923     3,0    1462     5,0
   2925     3,0    1463     4,0
   2927     5,0    1464     4,0
   2929     4,0    1465     1,0
   2931     2,0    1466     5,0
   2933     2,0    1467     7,0
   2935     2,0    1468     5,0
   2937     4,0    1469     8,0
   2939     4,0    1470     3,0
   2941     4,0    1471    13,0
   2943     8,0    1472    17,0
   2945     1,0    1473    17,0
   2947    12,0    1474    42,0
   2949     4,0    1475    28,0
   2951     6,0    1476    34,0
   2953     3,0    1477    26,0
   2955     5,0    1478    17,0
   2957     3,0    1479     9,0
   2959     2,0    1480     6,0
   2961     5,0    1481     6,0
   2963     1,0    1482     4,0
   2965     3,0    1483     6,0
   2967     4,0    1484     6,0
   2969     6,0    1485    11,0
   2971     6,0    1486     7,0
   2973     3,0    1487     3,0
   2975     3,0    1488    11,0
   2977     2,0    1489     4,0
   2979     4,0    1490     4,0
   2981     6,0    1491     4,0
   2983     4,0    1492     6,0
   2985     2,0    1493     4,0
   2987     3,0    1494     1,0
   2989     5,0    1495     6,0
   2991     4,0    1496     6,0
   2993     0,0    1497     4,0
   2995     4,0    1498     5,0
   2997     3,0    1499     3,0
   2999     0,0    1500     1,0
   3004     0,0    1502     0,0
   3009     0,0    1505     0,0
   3014     0,0    1508     0,0
   3019     0,0    1510     0,0
   3024     0,0    1512     0,0
   3029     0,0    1515     0,0
   3034     0,0    1518     0,0
   3039     0,0    1520     0,0
   3044     0,0    1522     0,0
   3049     0,0    1525     0,0
   3054     0,0    1528     0,0
   3059     0,0    1530     0,0
   3064     0,0    1533     0,0
   3069     0,0    1535     0,0
   3074     0,0    1538     0,0
   3079     0,0    1540     0,0
   3084     0,0    1543     0,0
   3089     0,0    1545     0,0
   3094     0,0    1548     0,0
   3099     0,0    1550     0,0
   3104     0,0    1553     0,0
   3109     0,0    1555     0,0
   3114     0,0    1558     0,0
   3119     0,0    1560     0,0
   3124     0,0    1563     0,0
   3129     0,0    1565     0,0
   3134     0,0    1568     0,0
   3139     0,0    1570     0,0
   3144     303    1573     0,0
   3149     775    1575     0,0
